ips,ports,tcp,rto,rtt,ato,mss,maxcwnd,ssthresh,send,pace,unacked
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,212,10.915,40,1448,10.0,258.0,1.325,2.65,-1
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.325,40,1448,273.0,37.0,170.025,204.025,165
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.372,40,1448,273.0,37.0,166.65,199.9375,151
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.106,40,1448,273.0,37.0,187.7,225.1875,156
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.446,40,1448,273.0,37.0,161.6125,193.8625,123
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.021,40,1448,273.0,37.0,195.6,234.6625,192
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.298,40,1448,273.0,37.0,172.025,206.4,194
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.007,40,1448,273.0,37.0,196.9625,236.2875,197
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.282,40,1448,273.0,37.0,173.225,207.8375,172
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,1.94,40,1448,273.0,37.0,203.7625,244.425,163
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.361,40,1448,389.0,37.0,238.575,286.2875,166
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.41,40,1448,389.0,37.0,233.725,280.4125,180
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.389,40,1448,389.0,37.0,235.775,282.8625,188
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.449,40,1448,389.0,37.0,230.0,275.9875,180
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.46,40,1448,389.0,37.0,228.975,274.675,167
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.427,40,1448,389.0,37.0,232.0875,278.4625,165
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.382,40,1448,389.0,37.0,236.475,283.6625,175
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.45,40,1448,389.0,37.0,229.9125,275.85,204
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.401,40,1448,389.0,37.0,234.6,281.45,171
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.434,40,1448,389.0,37.0,231.4125,277.6,169
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.377,40,1448,389.0,37.0,236.9625,284.325,152
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.354,40,1448,389.0,37.0,239.2875,287.1125,190
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.42,40,1448,389.0,37.0,232.7625,279.25,193
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.485,40,1448,389.0,37.0,226.675,271.9375,180
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.372,40,1448,389.0,37.0,237.4625,284.925,159
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.393,40,1448,507.0,291.0,306.7875,368.1,203
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.393,40,1448,507.0,291.0,306.7875,368.025,200
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.388,40,1448,507.0,291.0,307.425,368.8875,196
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.374,40,1448,507.0,291.0,309.2375,371.025,175
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.418,40,1448,507.0,291.0,303.6125,364.2625,207
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.395,40,1448,507.0,291.0,306.525,367.775,170
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.453,40,1448,507.0,291.0,299.275,359.125,165
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.466,40,1448,507.0,291.0,297.7,357.1375,167
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.5,40,1448,507.0,291.0,293.65,352.3375,160
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.415,40,1448,507.0,291.0,303.9875,364.65,186
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.374,40,1448,507.0,291.0,309.2375,371.025,195
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.437,40,1448,507.0,291.0,301.25,361.475,195
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.464,40,1448,507.0,291.0,297.95,357.475,177
"['134.197.41.42', '134.197.113.68']","['2:36750', '8:ssh']",cubic,204,2.383,40,1448,507.0,291.0,308.075,369.6625,176
