ips,ports,tcp,rto,rtt,ato,mss,maxcwnd,ssthresh,send,pace,unacked
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,212,10.841,40,1448,10.0,193.0,1.3375,2.675,-1
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.37,40,1448,293.0,40.0,179.0125,214.775,192
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.409,40,1448,293.0,40.0,176.1125,211.275,173
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.387,40,1448,293.0,40.0,177.7375,213.2375,176
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.414,40,1448,293.0,40.0,175.75,210.8875,188
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.058,40,1448,293.0,40.0,206.15,247.3875,176
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.371,40,1448,293.0,40.0,178.9375,214.6875,156
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.453,40,1448,293.0,40.0,172.9625,207.5375,178
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.487,40,1448,293.0,40.0,170.5875,204.6375,166
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.437,40,1448,293.0,40.0,174.0875,208.85,166
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.436,40,1448,293.0,40.0,174.1625,208.9375,158
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.428,40,1448,293.0,40.0,174.7375,209.6875,171
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.446,40,1448,293.0,40.0,173.45,208.125,200
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.396,40,1448,293.0,40.0,177.075,212.4625,206
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.464,40,1448,293.0,40.0,172.1875,206.5625,170
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.48,40,1448,293.0,40.0,171.075,205.25,170
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.475,40,1448,293.0,40.0,171.425,205.65,159
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.279,40,1448,293.0,40.0,186.1625,223.35,180
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.377,40,1448,293.0,40.0,178.4875,214.1,172
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.428,40,1448,293.0,40.0,174.7375,209.6375,175
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.382,40,1448,419.0,40.0,254.7125,305.65,176
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.426,40,1448,419.0,40.0,250.0875,300.0375,209
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.431,40,1448,419.0,40.0,249.575,299.4875,176
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.379,40,1448,419.0,40.0,255.025,305.9875,216
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.423,40,1448,419.0,40.0,250.4,300.425,155
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.376,40,1448,419.0,40.0,255.35,306.325,162
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.419,40,1448,419.0,40.0,250.8125,300.875,184
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.508,40,1448,419.0,40.0,241.9125,290.2375,207
"['134.197.41.42', '134.197.113.68']","['2:36770', '8:ssh']",cubic,204,2.521,40,1448,419.0,40.0,240.6625,288.8,198
