ips,ports,tcp,rto,rtt,ato,mss,maxcwnd,ssthresh,send,pace,unacked
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,212,10.944,40,1448,10.0,210.0,1.325,2.65,-1
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.272,40,1448,276.0,40.0,175.9,211.0375,207
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.242,40,1448,276.0,40.0,178.25,213.8375,189
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.333,40,1448,276.0,40.0,171.3,205.5375,164
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.42,40,1448,276.0,40.0,165.15,198.1125,125
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.031,40,1448,276.0,40.0,196.775,236.0375,180
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,1.975,40,1448,276.0,40.0,202.35,242.825,190
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,1.998,40,1448,276.0,40.0,200.025,240.025,189
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.442,40,1448,276.0,40.0,163.65,196.3875,154
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,1.903,40,1448,276.0,40.0,210.0125,251.975,189
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.35,40,1448,276.0,40.0,170.0625,204.05,197
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.141,40,1448,276.0,40.0,186.6625,223.9625,185
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.389,40,1448,276.0,40.0,167.2875,200.7125,181
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.534,40,1448,396.0,40.0,226.2875,271.4875,165
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.373,40,1448,396.0,40.0,241.6375,289.875,205
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.441,40,1448,396.0,40.0,234.9125,281.85,197
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.404,40,1448,396.0,40.0,238.525,286.225,170
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.532,40,1448,396.0,40.0,226.4625,271.725,170
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.518,40,1448,396.0,40.0,227.725,273.1875,183
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.471,40,1448,396.0,40.0,232.05,278.3875,205
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.379,40,1448,396.0,40.0,241.025,289.175,175
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.428,40,1448,396.0,40.0,236.1625,283.35,198
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.38,40,1448,396.0,40.0,240.925,289.1125,180
"['134.197.41.42', '134.197.113.68']","['2:36828', '8:ssh']",cubic,204,2.298,40,1448,396.0,40.0,249.525,299.425,190
