ips,ports,tcp,rto,rtt,ato,mss,maxcwnd,ssthresh,send,pace,unacked
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,1.788,40,1448,193.0,36.0,156.3,187.475,148
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.428,40,1448,275.0,36.0,164.0,196.7375,144
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.378,40,1448,287.0,36.0,174.7625,209.675,159
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.407,40,1448,287.0,36.0,172.65,207.1125,161
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.469,40,1448,287.0,36.0,168.3125,201.9625,156
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.395,40,1448,333.0,36.0,201.325,241.5625,174
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.442,40,1448,333.0,36.0,197.45,236.95,178
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.523,40,1448,333.0,36.0,191.1125,229.2625,180
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.381,40,1448,357.0,36.0,217.1125,260.5,196
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.396,40,1448,357.0,36.0,215.75,258.9,172
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.381,40,1448,357.0,36.0,217.1125,260.4875,174
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.437,40,1448,599.0,36.0,355.9125,427.075,165
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.468,40,1448,599.0,36.0,351.4375,421.625,164
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.445,40,1448,599.0,36.0,354.75,425.675,193
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,3.297,40,1448,923.0,36.0,405.375,486.3875,-1
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.423,40,1448,651.0,691.0,389.0375,466.775,159
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.379,40,1448,651.0,691.0,396.2375,475.3375,197
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.425,40,1448,651.0,691.0,388.725,466.4375,191
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.456,40,1448,651.0,691.0,383.8125,460.575,181
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.383,40,1448,651.0,691.0,395.575,474.5375,180
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.441,40,1448,651.0,691.0,386.175,463.3875,212
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.376,40,1448,651.0,691.0,396.7375,475.9875,197
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.442,40,1448,1035.0,691.0,613.7125,736.3375,200
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.511,40,1448,1035.0,691.0,596.85,716.15,185
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.369,40,1448,1035.0,691.0,632.625,758.95,190
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.501,40,1448,1035.0,691.0,599.2375,719.075,167
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.406,40,1448,1035.0,691.0,622.8875,747.2375,205
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.492,40,1448,1035.0,691.0,601.4,721.5,197
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.565,40,1448,1035.0,691.0,584.275,700.9375,207
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,212,8.069,40,1448,1035.0,691.0,185.7375,222.8625,-1
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.393,40,1448,505.0,775.0,305.575,366.6375,163
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.525,40,1448,505.0,775.0,289.6,347.4875,182
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.346,40,1448,505.0,775.0,311.7,373.975,199
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.437,40,1448,505.0,775.0,300.0625,360.05,180
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.407,40,1448,505.0,775.0,303.8,364.425,181
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.379,40,1448,505.0,775.0,307.375,368.775,191
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.506,40,1448,505.0,775.0,291.8,350.1,196
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.445,40,1448,505.0,775.0,299.075,358.7625,165
"['134.197.41.42', '134.197.113.68']","['2:36758', '8:ssh']",cubic,204,2.448,40,1448,505.0,775.0,298.7125,358.4,196
