ips,ports,tcp,rto,rtt,ato,mss,maxcwnd,ssthresh,send,pace,unacked
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,212,10.865,40,1448,10.0,250.0,1.3375,2.6625,-1
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.126,40,1448,272.0,37.0,185.2625,222.275,199
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.397,40,1448,284.0,37.0,171.5625,205.825,200
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.391,40,1448,299.0,37.0,181.075,217.2625,173
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.624,40,1448,313.0,37.0,172.725,207.2125,-1
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.509,40,1448,313.0,37.0,180.6375,216.725,183
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.445,40,1448,313.0,37.0,185.3625,222.3625,177
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.383,40,1448,313.0,37.0,190.1875,228.2125,200
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.533,40,1448,313.0,37.0,178.925,214.6875,169
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.358,40,1448,313.0,37.0,192.2125,230.65,164
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.415,40,1448,313.0,37.0,187.675,225.175,202
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.399,40,1448,313.0,37.0,188.925,226.6625,172
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.376,40,1448,313.0,37.0,190.75,228.875,204
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.383,40,1448,313.0,37.0,190.1875,228.175,193
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.425,40,1448,313.0,37.0,186.9,224.2,172
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.47,40,1448,313.0,37.0,183.4875,220.1125,167
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.457,40,1448,313.0,37.0,184.4625,221.3125,199
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.383,40,1448,313.0,37.0,190.1875,228.175,193
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.385,40,1448,313.0,37.0,190.025,228.0,181
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.461,40,1448,313.0,37.0,184.1625,220.9875,186
"['134.197.41.42', '134.197.113.68']","['2:36824', '8:ssh']",cubic,204,2.446,40,1448,313.0,37.0,185.2875,222.3125,200
