ips,ports,tcp,rto,rtt,ato,mss,maxcwnd,ssthresh,send,pace,unacked
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,212,10.619,40,1448,10.0,209.0,1.3625,2.725,-1
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.053,40,1448,283.0,20.0,199.6,239.4375,186
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.333,40,1448,283.0,20.0,175.65,210.75,197
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.114,40,1448,283.0,20.0,193.8375,232.525,180
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.213,40,1448,283.0,20.0,185.175,222.1375,193
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.437,40,1448,283.0,20.0,168.15,201.75,180
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.443,40,1448,283.0,20.0,167.7375,201.25,145
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.308,40,1448,283.0,20.0,177.55,213.0125,204
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.478,40,1448,283.0,20.0,165.375,198.3875,140
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.433,40,1448,283.0,20.0,168.425,202.0375,156
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.16,40,1448,283.0,20.0,189.7125,227.5875,157
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,1.948,40,1448,283.0,20.0,210.3625,252.4125,174
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.442,40,1448,283.0,20.0,167.8125,201.3625,151
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.371,40,1448,420.0,367.0,256.5,307.8,190
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.442,40,1448,420.0,367.0,249.0375,298.7375,189
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.424,40,1448,420.0,367.0,250.8875,301.025,174
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,212,8.175,40,1448,1034.0,367.0,183.15,219.7625,607
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.389,40,1448,1034.0,367.0,626.725,752.0625,202
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.381,40,1448,1034.0,367.0,628.825,754.5875,174
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.503,40,1448,1034.0,367.0,598.175,717.625,196
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.431,40,1448,1034.0,367.0,615.8875,738.8,193
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.379,40,1448,1034.0,367.0,629.35,755.15,206
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.532,40,1448,1034.0,367.0,591.325,709.4875,176
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.516,40,1448,1034.0,367.0,595.0875,714.0625,167
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.338,40,1448,1034.0,367.0,640.3875,768.4625,205
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.402,40,1448,1034.0,367.0,623.325,747.8,188
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.4,40,1448,1034.0,367.0,623.85,748.575,204
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.402,40,1448,1034.0,367.0,623.325,747.9875,175
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.445,40,1448,517.0,775.0,306.1875,367.3,170
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.396,40,1448,517.0,775.0,312.45,374.875,182
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.388,40,1448,517.0,775.0,313.4875,376.0875,166
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.404,40,1448,517.0,775.0,311.4,373.65,165
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.386,40,1448,517.0,775.0,313.75,376.5,203
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.489,40,1448,517.0,775.0,300.775,360.8125,180
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.434,40,1448,517.0,775.0,307.5625,369.0375,176
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.483,40,1448,517.0,775.0,301.5,361.6625,180
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.374,40,1448,517.0,775.0,315.3375,378.325,175
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.464,40,1448,517.0,775.0,303.825,364.4625,199
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.365,40,1448,517.0,775.0,316.5375,379.85,203
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.366,40,1448,517.0,775.0,316.4,379.65,178
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.406,40,1448,517.0,775.0,311.15,373.3125,173
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.413,40,1448,517.0,775.0,310.2375,372.2,172
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.49,40,1448,517.0,775.0,300.65,360.7375,182
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.544,40,1448,517.0,775.0,294.2625,353.1,168
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.536,40,1448,517.0,775.0,295.2,354.2375,184
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.415,40,1448,517.0,775.0,309.9875,371.9875,198
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.451,40,1448,517.0,775.0,305.4375,366.4625,176
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.448,40,1448,517.0,775.0,305.8125,366.925,191
"['134.197.41.42', '134.197.113.68']","['2:36774', '8:ssh']",cubic,204,2.442,40,1448,517.0,775.0,306.5625,367.7375,187
