ips,ports,tcp,rto,rtt,ato,mss,maxcwnd,ssthresh,send,pace,unacked
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,212,10.306,40,1448,10.0,238.0,1.4,2.8125,-1
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.328,40,1448,273.0,30.0,169.8,203.725,200
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.377,40,1448,285.0,30.0,173.6125,208.3125,182
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.438,40,1448,285.0,30.0,169.275,203.0875,174
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.427,40,1448,285.0,30.0,170.0375,203.9875,200
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.238,40,1448,285.0,30.0,184.4,221.2625,193
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.474,40,1448,285.0,30.0,166.8125,200.1625,116
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.318,40,1448,285.0,30.0,178.0375,213.6375,157
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.041,40,1448,285.0,30.0,202.2,242.5625,193
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.245,40,1448,285.0,30.0,183.825,220.5,172
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.464,40,1448,341.0,258.0,200.3875,240.425,188
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.442,40,1448,341.0,258.0,202.2,242.6,193
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.483,40,1448,341.0,258.0,198.8625,238.6375,182
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.548,40,1448,341.0,258.0,193.7875,232.55,191
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.493,40,1448,341.0,258.0,198.0625,237.5875,158
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.4,40,1448,423.0,258.0,255.2125,306.2,165
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.403,40,1448,423.0,258.0,254.8875,305.825,152
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.509,40,1448,423.0,258.0,244.125,292.8625,170
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.416,40,1448,423.0,258.0,253.525,304.175,181
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.511,40,1448,423.0,258.0,243.925,292.6375,162
"['134.197.41.42', '134.197.113.68']","['2:36746', '8:ssh']",cubic,204,2.506,40,1448,423.0,258.0,244.4125,293.2375,191
