ips,ports,tcp,rto,rtt,ato,mss,maxcwnd,ssthresh,send,pace,unacked
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,0.689,40,1448,56.0,16.0,117.6875,141.2,56
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.302,40,1448,279.0,16.0,175.5,210.525,205
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.367,40,1448,279.0,16.0,170.675,204.8,202
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.354,40,1448,279.0,16.0,171.625,205.9375,166
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,1.989,40,1448,279.0,16.0,203.1125,243.625,208
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.101,40,1448,279.0,16.0,192.2875,230.725,198
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.377,40,1448,279.0,16.0,169.9625,203.8875,181
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.45,40,1448,279.0,16.0,164.9,197.8625,123
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.332,40,1448,279.0,16.0,173.2375,207.8125,167
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.448,40,1448,279.0,16.0,165.025,197.9875,137
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.395,40,1448,286.0,208.0,172.9125,207.4375,202
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.288,40,1448,286.0,208.0,181.0,217.175,205
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.195,40,1448,286.0,208.0,188.675,226.325,194
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.328,40,1448,286.0,208.0,177.8875,213.4125,174
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.245,40,1448,286.0,208.0,184.4625,221.275,206
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.458,40,1448,286.0,208.0,168.4875,202.1375,168
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.386,40,1448,286.0,208.0,173.5625,208.2,204
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.415,40,1448,286.0,208.0,171.4875,205.775,165
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.387,40,1448,286.0,208.0,173.4875,208.1625,171
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.526,40,1448,286.0,208.0,163.95,196.6875,135
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.51,40,1448,286.0,208.0,164.9875,197.9875,168
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.34,40,1448,286.0,208.0,176.975,212.3125,177
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.294,40,1448,286.0,208.0,180.525,216.6125,200
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.51,40,1448,286.0,208.0,164.9875,197.925,-1
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.409,40,1448,324.0,214.0,194.75,233.675,195
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.399,40,1448,324.0,214.0,195.5625,234.6625,189
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.368,40,1448,324.0,214.0,198.125,237.7,204
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.451,40,1448,324.0,214.0,191.4125,229.6875,181
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.389,40,1448,324.0,214.0,196.375,235.6375,161
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.419,40,1448,324.0,214.0,193.95,232.6875,188
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.354,40,1448,324.0,214.0,199.3,239.125,177
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.381,40,1448,324.0,214.0,197.0375,236.375,203
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.398,40,1448,324.0,214.0,195.6375,234.775,155
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.34,40,1448,324.0,214.0,200.4875,240.5,175
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.39,40,1448,324.0,214.0,196.3,235.5625,185
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.383,40,1448,324.0,214.0,196.875,236.1875,173
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.444,40,1448,324.0,214.0,191.9625,230.35,190
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.374,40,1448,324.0,214.0,197.625,237.1,172
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.436,40,1448,324.0,214.0,192.5875,231.0625,198
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.4,40,1448,324.0,214.0,195.475,234.5625,176
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.47,40,1448,324.0,214.0,189.9375,227.925,172
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.39,40,1448,324.0,214.0,196.3,235.5375,198
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.455,40,1448,324.0,214.0,191.1,229.275,188
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.377,40,1448,324.0,214.0,197.375,236.85,163
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.447,40,1448,324.0,214.0,191.725,230.025,202
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.17,40,1448,287.0,243.0,191.5125,229.75,182
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.403,40,1448,287.0,243.0,172.9375,207.5125,200
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.438,40,1448,348.0,243.0,206.6875,248.0125,180
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.49,40,1448,348.0,243.0,202.375,242.825,178
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.446,40,1448,348.0,243.0,206.0125,247.15,165
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.4,40,1448,348.0,243.0,209.9625,251.8625,203
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.408,40,1448,348.0,243.0,209.2625,251.0375,194
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.388,40,1448,348.0,243.0,211.0125,253.2125,199
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.37,40,1448,348.0,243.0,212.6125,255.125,173
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.39,40,1448,348.0,243.0,210.8375,252.9125,196
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.391,40,1448,348.0,243.0,210.75,252.8625,190
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.368,40,1448,348.0,243.0,212.8,255.3625,182
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.344,40,1448,348.0,243.0,214.975,257.8875,203
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.386,40,1448,348.0,243.0,211.1875,253.4125,184
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.431,40,1448,348.0,243.0,207.2875,248.7125,185
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.38,40,1448,348.0,243.0,211.725,253.9875,203
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.556,40,1448,348.0,243.0,197.15,236.55,167
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.43,40,1448,348.0,243.0,207.3625,248.7875,193
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.422,40,1448,348.0,243.0,208.05,249.6,178
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.434,40,1448,348.0,243.0,207.025,248.375,167
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.369,40,1448,348.0,243.0,212.7125,255.1875,174
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.418,40,1448,348.0,243.0,208.4,250.0375,171
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.418,40,1448,348.0,243.0,208.4,250.0625,180
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.531,40,1448,348.0,243.0,199.0875,238.875,183
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.393,40,1448,348.0,243.0,210.575,252.6375,175
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.404,40,1448,348.0,243.0,209.6125,251.45,165
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.448,40,1448,348.0,243.0,205.8375,246.9375,166
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,0.669,40,1448,166.0,261.0,359.3,430.9875,91
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.336,40,1448,273.0,261.0,169.225,203.0125,210
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,1.943,40,1448,273.0,261.0,203.45,244.0625,172
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,1.833,40,1448,273.0,261.0,215.6625,258.6625,171
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.258,40,1448,273.0,261.0,175.0625,210.0,192
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.432,40,1448,273.0,261.0,162.5375,195.05,118
"['134.197.41.42', '134.197.113.68']","['2:36762', '8:ssh']",cubic,204,2.398,40,1448,273.0,261.0,164.85,197.75,128
